98ZRU,White,Suzuki,LTZ 400 K6,2008,All Terrain Vehicle,2011-09-19,Central
9970W,Silver,Trailer,HOMEMADE,2001,Trailer,2011-09-28,Southern
99QTP,Grey,Aro Bros,MISC,1987,Trailer,2011-11-18,Central
A1737,Red,Homebuilt,8X5 FOXEN TANDEM,1988,Trailer,2011-12-16,Eastern
A1AAZ,Red,Suzuki,AG50,1996,Moped,2011-08-30,Wellington
A1AEL,Orange,Moped,VOWROAD VR50QT,2006,Moped,2011-12-11,Counties/Manukau
A1AQU,Grey,Moped,CPI,2009,Moped,2011-12-03,Counties/Manukau
A1CJG,Red,Moped,HY50QT3A,2010,Moped,2011-10-25,Auckland City
A1CRD,White,Yamaha,JOG,1994,Moped,2011-06-28,Auckland City
A1CWA,Blue,Yamaha,CV50,2010,Moped,2011-10-08,Auckland City
A1FUF,Black,Yamaha,CV50 J0G,2011,Moped,2011-06-24,Waikato
A1GEK,White,Yamaha,FZR,1987,Roadbike,2011-08-11,Wellington
A1GQC,Blue,Suzuki,AN125,2011,Roadbike,2011-07-23,Waitemata
A1HHW,Black,Kawasaki,KL,2007,Roadbike,2011-11-24,Wellington
A1HMN,Silver,Yamaha,JOG,2008,Moped,2011-08-30,Auckland City
A1HSC,Red,Ducati,MONSTER,2000,Roadbike,2011-09-26,Auckland City
A1JDC,Red,Suzuki,EN125,2004,Roadbike,2011-11-12,Auckland City
A1JKY,Yellow,Suzuki,TR50,1998,Moped,2011-12-06,Auckland City
A2AMW,Blue,Yamaha,CV 50 JOG,2009,Moped,2011-07-19,Central
A2ASL,Orange,Honda,EX 400,2009,All Terrain Vehicle,2011-07-31,Wellington
A2CEQ,Black,Honda,DIO.AF34,2001,Moped,2011-10-22,Waikato
A2CLK,Silver,Harley Davidson,96 DYNA,1996,Roadbike,2011-11-26,Northland
A2EWY,Red,Moped,50QT-4,2010,Moped,2011-11-04,Canterbury
A2FGL,Red,Suzuki,TU250X,1998,Roadbike,2011-09-18,Wellington
A2FQT,Red,Suzuki,FA50,1980,Moped,2011-11-20,Bay of Plenty
A2GCY,Blue,Suzuki,AN125,2011,Roadbike,2011-11-15,Canterbury
A2HJU,Black,Honda,DIO,2011,Moped,2011-10-25,Central
